#Fake data using artificailDataMaker.py
# ObsDate[JD]	RA["]    RAerror["]  Dec["]   DecError["]
2457000 0.08584894355 8.996302075e-07 -0.6791729255 8.996302075e-07
2457602.222 -0.963624449 8.996302075e-07 -0.3428277534 8.996302075e-07
2458204.444 -1.202208855 8.996302075e-07 0.4327313048 8.996302075e-07
2458806.667 -0.9648861693 8.996302075e-07 1.073456129 8.996302075e-07
2459408.889 -0.5007907076 8.996302075e-07 1.475433046 8.996302075e-07
2460011.111 0.05543184605 8.996302075e-07 1.612598338 8.996302075e-07
2460613.333 0.6001111782 8.996302075e-07 1.462351271 8.996302075e-07
2461215.555 1.005457353 8.996302075e-07 0.9920347249 8.996302075e-07
2461817.778 1.029825158 8.996302075e-07 0.1842656181 8.996302075e-07
2462420 0.2122148441 8.996302075e-07 -0.6438684063 8.996302075e-07
2463022.222 -0.8996305552 8.996302075e-07 -0.4124458599 8.996302075e-07







