#HD 130948BC DI data from Dupuy email MINUS BAD POINT
# ObsDate[JD]	RA["]       RAerror["]  Dec["]     DecError["]
2451964.500 -0.09495    0.00215 0.09011 0.00214
2452523.500 -0.07565    0.00133 0.05680 0.00147
2453425.282 0.02985 0.00060 -0.04891    0.00060
2454127.085 0.08222 0.00079 -0.07561    0.00079
2454185.028 0.08072 0.00034 -0.07340    0.00033
2454306.737 0.07419 0.00030 -0.06388    0.00029
2454481.192 0.05720 0.00028 -0.04405    0.00032
2454555.068 0.04719 0.00028 -0.03268    0.00035
2454584.106 0.04291 0.00036 -0.02884    0.00041
2455206.000 -0.05931    0.00039 0.06636 0.00039
2455278.000 -0.06837    0.00014 0.07319 0.00014


