#Fake data using artificialDataMaker.py
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2450992.535 -0.6980033648 0.0342232247 -0.05760528675 0.0342232247
2450887.974 0.2779653547 0.0342232247 -0.9596137852 0.0342232247
2451048.213 -0.5508777199 0.0342232247 0.792669693 0.0342232247
2450901.382 0.08781469275 0.0342232247 -0.9964274666 0.0342232247
2450977.921 -0.6292148832 0.0342232247 -0.3665281024 0.0342232247
2450888.997 0.2544756332 0.0342232247 -1.012733132 0.0342232247
2451163.843 0.6794430242 0.0342232247 0.2343109483 0.0342232247
2450949.899 -0.4085782235 0.0342232247 -0.7299335832 0.0342232247
2450929.477 -0.3164360914 0.0342232247 -0.9046966163 0.0342232247
2451079.413 -0.2205978444 0.0342232247 0.9745049722 0.0342232247
