#HD 130948BC DI data from Dupuy email
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2451965		313.5	1		0.1309	0.002
2453425.282	146.6	0.6		0.0568	0.0006
2454127.085	132.8	0.4		0.1117	0.0008
2454185.028	132.54	0.13	0.1091	0.0004
2454306.737	130.99	0.17	0.0979	0.0003
2454481.192	127.8	0.3		0.0722	0.0002
2454555.068	124.8	0.4		0.0574	0.0002
2454584.106	124.1	0.5		0.0517	0.0003
2455206		318.21	0.25	0.089	0.0004
2455278		316.95	0.07	0.10015	0.00015

