#TauBoo DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]
2396557.5	347.8	2.0753103448	10.26	0.5188275862
2403065.5	348.7	1.8295172414	9.03	0.4573793103
2405359.5	350.8	1.7428965517	8.91	0.4357241379
2407064.5	351.9	1.6784827586	8.71	0.4196206897
2408219.5	354.3	1.6348965517	8.9	0.4087241379
2408927.5	352.4	1.608137931	8.89	0.4020344828
2411846.5	353.6	1.4979310345	8.72	0.3744827586
2413509.5	356	1.4351724138	8.41	0.3587931034
2414351.5	355.1	1.4033103448	8.45	0.3508275862
2414465.5	354.8	1.3990344828	8.54	0.3497586207
2415404.5	355.8	1.3635862069	8.66	0.3408965517
2419263.5	356.8	1.2177931034	7.28	0.3044482759
2423443.5	359.1	1.06	7.35	0.265
2424260.5	359.5	1.0291034483	6.96	0.2572758621
2425728.5	1.7	0.9736551724	7.06	0.2434137931
2429753.5	3.5	0.8216551724	6.4	0.2054137931
2431535.5	5.1	0.7543448276	6.15	0.1885862069
2431959.5	5.1	0.7383448276	6.09	0.1845862069
2434136.5	6	0.656137931	5.87	0.1640344828
2436256.5	6.8	0.576137931	5.4	0.1440344828
2437227.5	7.8	0.5394482759	5.32	0.134862069
2438866.5	11.4	0.4775172414	5.14	0.1193793103
2440132.5	8	0.4297655172	4.94	0.1074413793
2440707.5	13.5	0.408		5.17	0.102
2448337.5	20.65	0.5		3.401	0.0511714753
2451143.5	30.85	0.4		2.865	0.0313751472
2451711.5	33.2	1		2.82	0.04
2451945.5	31.3	1		2.71	0.02
2454579.5	46.26	0.42		2.181	0.011
2455589.5	52.65	0.16		1.9421	0.0021
2455704.5	53.68	0.07		1.9324	0.001

