#Fake data using Tim's model DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#
2457000 113.4061391 22.31424504 0.2650796704 0.03299162822
2457091.329 190.4467989 22.31424504 0.2959942204 0.03299162822
2457182.658 215.4293609 22.31424504 0.5329911047 0.03299162822
2457273.986 233.6603707 22.31424504 0.6266158985 0.03299162822
2457365.315 250.2698814 22.31424504 0.7186020424 0.03299162822
2457456.644 259.7339696 22.31424504 0.8224418521 0.03299162822
2457547.973 265.3070902 22.31424504 0.8641121781 0.03299162822
2457639.301 271.9198155 22.31424504 0.8961956104 0.03299162822
2457730.63 280.1464825 22.31424504 0.9005901608 0.03299162822
2457821.959 284.7768038 22.31424504 0.8602048708 0.03299162822
2457913.288 292.4359649 22.31424504 0.8513963711 0.03299162822
2458004.616 297.6651218 22.31424504 0.8234181792 0.03299162822
2458095.945 308.1752538 22.31424504 0.7851570549 0.03299162822
2458187.274 315.0839 22.31424504 0.7572108284 0.03299162822
2458278.603 324.501021 22.31424504 0.6930492302 0.03299162822
2458369.931 340.2328884 22.31424504 0.6125974995 0.03299162822
2458461.26 354.4298549 22.31424504 0.5764788594 0.03299162822
2458552.589 18.55125336 22.31424504 0.4922487555 0.03299162822
2458643.918 27.09731286 22.31424504 0.45877322 0.03299162822
2458735.247 65.65644378 22.31424504 0.4226843538 0.03299162822
2458826.575 107.2325977 22.31424504 0.3144820909 0.03299162822
2458917.904 179.9976643 22.31424504 0.3261579701 0.03299162822







