#Fake data using Tim's model DI data
# ObsDate[JD]	PositionAngle[deg]    PositionAngleError[deg]  SeparationAngle["]   SeparationAngleError["]#
2457000 92.00809901 13.10094537 0.3049185705 0.06836505457
2457182.658 216.7588997 9.039912594 0.4267706424 0.09533646563
2457365.315 255.9784185 5.409541006 0.7362259226 0.08089056531
2457547.973 263.5287675 4.26770548 0.9354706804 0.07340042331
2457730.63 276.65199 4.925050096 0.810583221 0.07359517362
2457913.288 287.3811871 4.442772649 0.8949846062 0.08377931883
2458095.945 317.5206637 4.905235941 0.7908252154 0.09597000544
2458278.603 337.92434 5.355786121 0.7114844323 0.08940450951
2458461.26 357.6584271 5.311838237 0.7115678114 0.07236232806
2458643.918 34.16203405 7.790212621 0.4940372995 0.09473476499
2458826.575 115.3477621 14.29179635 0.2768259938 0.08946216483
2459009.233 229.1491871 10.7848267 0.3620075345 0.09550180734







