#TauBoo RV data
#Data from Butler 2006, POST 1995 ONLY	(Trend In, offset 161.82785 subtracted, planet RV subtracted)		
#JD	RV [m/s]	delta_RV [m/s]	Jitter
2449767.0263	-123.181097236	18.5	7.8923
2449857.715	-155.703476965	16.6	
2449857.7378	-140.959347828	16.6	
2450069.052338	-183.6858123384	16.6	
2450069.074838	-172.2686799887	17.5	
2450072.054039	-159.021127202	16.6	
2450073.081759	-167.342014861	16.6	
2450173.909074	-179.522377707	20.5	
2450173.934468	-161.156410565	20.5	
2450203.812685	-161.408138437	17.5	
2450203.835394	-172.25707924	17.5	
2450214.813935	-125.4299754571	17.5	
2450214.836146	-153.6688275871	16.6	
2450215.7075	-194.205649372	15.6	
2450215.730243	-187.06484735	16.6	
2450231.772755	-168.017476023	21.4	
2450232.682766	-173.598333498	25.4	
2450232.903553	-160.3409427235	21.4	
2450233.723333	-195.149222101	19.5	
2450233.847697	-200.720216491	20.5	
2450234.672488	-151.4549783967	18.5	
2450234.832766	-130.442052382	21.4	
2450235.72265	-193.483170774	18.5	
2450235.830764	-178.23210391	19.5	
2450263.676285	-182.027414573	14.6	
2450299.678056	-178.391153974	14.6	
2450502.99441	-173.5271115852	17.5	
2450503.963565	-185.045181235	15.6	
2450504.799144	-194.635137995	17.5	
2450504.811157	-183.130616218	16.6	
2450505.045185	-196.327702385	16.6	
2450537.907014	-168.811211854	17.5	
2450563.775093	-228.822944365	17.5	
2450613.749491	-169.087421196	15.6	
2450614.763553	-177.169930467	16.6	
2450645.710104	-181.130124007	14.6	
2450655.696516	-202.99252229	18.5	
2450794.069676	-169.812953331	15.6	
2450977.723981	-184.489507327	17.5	
2450977.736539	-220.238310984	19.5	
2451005.712512	-201.052740918	15.6	
2451207.02066	-237.758371072	14.6	
2451303.826725	-258.98526935	13.7	
2451304.765012	-220.879916812	13.7	
2451305.765012	-211.475278922	14.6	
2451537.081574	-218.817756239	14.6	
2451541.047211	-217.253554205	15.6	
2451627.847118	-255.737217271	16.6	
2451628.855197	-241.765910835	16.6	
2451940.015532	-260.611592664	15.6	
2451940.041551	-226.858719864	17.5	
2452041.838519	-289.907649505	17.5	
2452041.846042	-274.388504774	16.6	
2452055.829444	-244.664958179	14.6	
2452333.979201	-226.02034007	14.6	
2452334.970486	-253.188697518	17.5	
2452338.9639	-264.110167071	14.6	
2452380.796007	-266.310956319	14.6	
2452380.815012	-270.19902161	15.6	

#CFHT Data from Donati 2008	(TrendIn -0.324833 offset subtracted, planet RV subtracted)
#JD	RV [m/s]	delta_RV [m/s]	Jitter	
2454277.74494	25.464740841	11.69	0
2454277.81018	14.458313906	11.69	
2454278.74598	-20.732717188	11.69	
2454278.75739	-25.906097951	11.69	
2454278.76861	-18.065248147	11.69	
2454279.73666	-19.146395366	11.69	
2454279.74787	-10.198879054	11.69	
2454279.75913	-10.063102887	11.69	
2454281.83298	7.897545712	11.69	
2454281.8442	9.976112466	11.69	
2454282.73612	-3.851854218	11.69	
2454282.74732	-3.632864919	11.69	
2454282.75863	-7.357486405	11.69	
2454283.73836	-2.476441988	11.69	
2454283.74973	8.922727807	11.69	
2454283.76769	9.424801751	11.69	
2454283.78209	13.449015555	11.69	
2454283.9196	42.944435414	11.69	
2454284.74158	-18.054021659	11.69	
2454284.75763	-16.682222584	11.69	
2454284.77363	-3.738795219	11.69	
2454284.85319	-4.378204631	11.69	
2454285.7922	-3.5704650077	11.69	
2454285.80803	9.7035011972	11.69	
2454285.86573	17.455588645	11.69	
2454285.88171	22.087675828	11.69	
2454286.74025	-23.864002889	11.69	
2454286.75144	-9.983154025	11.69	
2454286.76265	-2.903248005	11.69	
2454286.78415	-5.547011128	11.69	
