#HR7672 RV data from Crepp 2012 
#JD	RV [m/s]	delta_RV [m/s]	Jitter
2447047.7194	270.7100	0.8100	24
2447373.8210	232.8800	0.3800	
2447373.9403	222.4600	0.6800	
2447374.8270	208.9600	0.6300	
2447374.9631	241.4900	0.8700	
2447394.7872	223.4800	1.2900	
2447430.6837	260.2200	1.0200	
2447431.6884	273.8000	1.1000	
2447578.0606	247.6400	1.2900	
2447710.8762	232.0700	1.2900	
2447846.7068	201.7300	1.0300	
2448018.9895	191.0700	1.6400	
2448019.9631	216.9100	1.6300	
2448113.8532	150.1900	1.0200	
2448200.6134	176.4700	1.0300	
2448375.0093	158.6800	1.6300	
2448437.9603	173.2000	1.5300	
			
#			
2448834.8294	133.4300	0.7500	9.8
2448847.8253	128.4900	0.9300	
2448905.7100	136.8500	0.8400	
2449123.0038	91.0900	1.3800	
2449171.8390	103.5900	1.1100	
2449173.8394	98.9800	1.2600	
2449174.9026	110.7500	1.1200	
2449200.8275	100.1200	1.0400	
2449278.7378	105.0000	1.0800	
2449280.7483	97.9200	0.9900	
2449587.7636	80.5600	0.9800	
2449589.7614	82.4500	1.0300	
2449602.7461	101.8500	0.9600	
2449622.7247	90.9300	1.2600	
			
#			
2450979.9278	-6.2100	1.1600	8.5
2451048.8474	5.9200	1.1700	
2451062.7690	-9.1300	1.2300	
2451303.9778	-33.2100	0.8000	
2451305.9730	-32.7200	0.8800	
2451389.8655	-51.2700	0.8000	
2451392.8306	-42.5000	0.8900	
2451416.7036	-29.1700	0.8800	
2451467.6397	-28.5800	1.5700	
2451468.6072	-34.7200	1.3100	
2451751.8211	-50.0300	0.8800	
2451815.6476	-45.2600	1.4800	
2452041.9946	-78.9600	1.2200	
2452075.9299	-81.2300	0.9800	
2452115.8858	-87.6600	0.9500	
2452117.8641	-82.7100	0.8200	
2452140.7744	-69.5000	0.8700	
2452181.6483	-84.2600	0.9900	
2452186.6687	-75.6600	1.1500	
2452188.7009	-77.1700	1.2900	
2452202.6766	-91.7000	1.0900	
			
#			
2452894.7297	-139.0600	1.4500	9.2
2453203.8281	-160.7100	1.9000	
2453544.9448	-203.0400	1.4700	
2452508.7589	-120.3200	1.1800	
2452509.7462	-134.0400	1.1400	
2453556.9127	-190.7200	1.3700	
2453561.8937	-201.1300	1.5800	
2453589.8255	-186.9000	2.8100	
2453926.8957	-217.6100	1.6500	
2453954.7593	-226.2500	1.9700	
2453958.7828	-221.3200	1.2900	
2453989.8700	-224.7900	3.0400	
2454697.9197	-222.7400	2.9400	

#			
2449680.5946	66.8400	0.7600	9.3
2449872.9322	54.4200	0.4900	
2449893.8756	61.4300	0.5000	
2449913.9177	45.8400	0.5100	
2449984.6846	56.5500	0.5100	
2450215.8672	8.8500	0.7800	
2450263.8492	26.1600	0.5400	
2450299.8286	33.7200	0.6100	
2450304.8468	18.1400	0.5600	
2450613.9009	-2.2600	0.7900	
2450614.9313	-0.3700	0.7500	
2450640.8998	6.2600	0.7500	
2450656.8269	7.4100	0.7600	
2450793.5628	1.7600	0.5100	
2451300.0046	-33.2000	0.7800	
			
#			
2450601.8849	0.0000	0.0100	7.1
2450602.9911	3.7800	1.2900	
2450604.0217	3.6900	1.1900	
2450605.0298	2.9200	1.3000	
2450606.0621	-5.7300	1.3000	
2450606.9658	0.7700	1.3800	
2450607.9157	3.7900	1.3700	
2451068.8450	-23.7100	1.4500	
2451069.8909	-29.2000	1.3400	
2451070.9108	-19.7200	1.3100	
2451071.8471	-13.1500	1.6000	
2451072.8352	-15.1600	1.3400	
2451074.8549	-22.9600	1.3100	
2451075.7848	-22.3000	1.1800	
2451311.1002	-41.8800	1.2300	
2451312.0886	-40.5300	1.3700	
2451313.1019	-33.6000	1.3900	
2451314.1248	-39.0700	1.0400	
2451367.9059	-53.1100	1.5100	
2451368.8710	-49.1600	1.7200	
2451370.0152	-45.7000	1.2800	
2451372.0268	-41.9600	1.6400	
2451373.0623	-46.1500	1.5900	
2451373.8199	-51.1000	1.4800	
2451410.8762	-52.9900	1.5200	
2451411.8717	-55.8600	1.3900	
2451439.8221	-53.9600	1.4600	
2451679.0915	-39.8600	1.8500	
2451703.0748	-46.3200	1.5000	
2451754.9418	-49.2100	1.3300	
2451793.8250	-53.3300	1.6300	
2452031.0398	-79.7700	1.5300	
2452099.0483	-87.4600	1.6000	
2452127.9831	-100.9400	1.8300	
2452133.8002	-98.5800	1.6200	
2452391.1392	-120.4900	1.9100	
2452515.7825	-115.4100	1.1200	
2452575.6912	-116.7900	1.6900	
2452848.9031	-131.7400	1.7800	
2452855.9988	-136.4200	1.6700	
2453181.0272	-171.0600	1.4800	
2453303.7113	-172.1700	0.8400	
2453551.0081	-195.0500	0.5500	
2453603.9205	-195.7500	0.7400	
2453926.0386	-212.1000	0.6700	
2453982.8138	-220.3500	0.6200	
			
#		
2454337.0434	-235.4100	1.4400	5.6
2454546.1518	-240.0500	1.2200	
2454671.9587	-240.9000	1.2100	
2454673.9656	-248.1700	1.1600	
2454675.8841	-247.4600	0.9300	
2454688.8742	-239.2700	1.4700	
2454689.9519	-241.9000	1.3600	
2454717.9307	-244.8100	1.2500	
2454718.9864	-246.4100	1.2700	
