#Fake data using artificialDataMaker.py
# ObsDate[JD]   RA["]    RAerror["]  Dec["]   DecError["]
2456048.899 0.09640476707 0.009358419411 0.1628696855 0.009358419411
2452554.147 0.2542561652 0.009358419411 -0.06533353915 0.009358419411
2453279.663 0.1152246733 0.009358419411 -0.1912897834 0.009358419411
2454006.933 -0.1377317517 0.009358419411 -0.1488771151 0.009358419411
2452987.265 0.1764617865 0.009358419411 -0.148316557 0.009358419411
2454662.747 -0.2513785846 0.009358419411 0.004756990322 0.009358419411
2452625.603 0.2482586752 0.009358419411 -0.06911625971 0.009358419411
2454875.798 -0.2735877427 0.009358419411 0.04966945956 0.009358419411
2453256.429 0.1350797639 0.009358419411 -0.199911199 0.009358419411
2454703.954 -0.2714407936 0.009358419411 -0.003334678107 0.009358419411
