#Fake data using artificialDataMaker.py
# ObsDate[JD]	RA["]    RAerror["]  Dec["]   DecError["]
2457000 0.09025635366 0.04498151038 -0.5845949444 0.04498151038
2457602.222 -0.9202962141 0.04498151038 -0.3233676751 0.04498151038
2458204.444 -1.173705941 0.04498151038 0.4456213137 0.04498151038
2458806.667 -0.9346825427 0.04498151038 1.099094451 0.04498151038
2459408.889 -0.5052961963 0.04498151038 1.495219131 0.04498151038
2460011.111 0.07960147137 0.04498151038 1.648590342 0.04498151038
2460613.333 0.5052126993 0.04498151038 1.509675532 0.04498151038
2461215.555 1.051396209 0.04498151038 1.06182335 0.04498151038
2461817.778 1.046238885 0.04498151038 0.09144469181 0.04498151038
2462420 0.2939909292 0.04498151038 -0.6568702791 0.04498151038
2463022.222 -0.8724134227 0.04498151038 -0.3497217329 0.04498151038







